time_ns,ion_temp_keV,fuel_density_gcc,radius_cm
-1.740000e+01,3.618477e-11,4.500000e-04,4.350000e-01
-1.566000e+01,4.148449e-09,4.500000e-04,4.060000e-01
-1.392000e+01,2.887160e-07,4.500000e-04,3.770000e-01
-1.218000e+01,1.219779e-05,4.500000e-04,3.480000e-01
-1.044000e+01,3.128362e-04,4.500000e-04,3.190000e-01
-8.700000e+00,4.870550e-03,4.500000e-04,2.900000e-01
-6.960000e+00,4.603247e-02,4.500000e-04,2.610000e-01
-5.220000e+00,2.641045e-01,9.522615e-04,2.320000e-01
-3.480000e+00,9.198407e-01,3.316600e-03,2.030000e-01
-1.740000e+00,1.944799e+00,7.012214e-03,1.740000e-01
0.000000e+00,2.496101e+00,9.000000e-03,1.450000e-01
1.740000e+00,1.944799e+00,7.012214e-03,1.740000e-01
3.480000e+00,9.198407e-01,3.316600e-03,2.030000e-01
5.220000e+00,2.641045e-01,9.522615e-04,2.320000e-01
6.960000e+00,4.603247e-02,4.500000e-04,2.610000e-01
8.700000e+00,4.870550e-03,4.500000e-04,2.900000e-01
1.044000e+01,3.128362e-04,4.500000e-04,3.190000e-01
1.218000e+01,1.219779e-05,4.500000e-04,3.480000e-01
1.392000e+01,2.887160e-07,4.500000e-04,3.770000e-01
1.566000e+01,4.148449e-09,4.500000e-04,4.060000e-01
1.740000e+01,3.618477e-11,4.500000e-04,4.350000e-01
