config,n_ports,TBR_total,TBR_total_stddev,delta_vs_no_port_percent,fraction_lipb,runtime_s
00_baseline_no_port,0,1.8305775567228837,0.007630868483150266,-0.0012260066162085108,0.769206737433941,21.17076015472412
01_single_port_d1cm,1,1.831441465797943,0.008663347628793712,0.04596666655429778,0.7691375369753567,21.068439960479736
01_single_port_d2cm,1,1.832901095739469,0.006545857849281052,0.12570172290335987,0.7690247098628994,20.810539722442627
01_single_port_d3cm,1,1.8355866843276214,0.005710898406846434,0.2724070975429582,0.7689409181778692,20.912225008010864
01_single_port_d4cm,1,1.8359415828694021,0.005869129980743318,0.29179410408620765,0.7687510188951598,21.549293518066406
01_single_port_d5cm,1,1.8363426773137301,0.005396236511759165,0.3137046494990783,0.7696869271235405,20.89599108695984
02_two_ports_d2cm,2,1.8349461490633836,0.006508879004134669,0.23741664281566685,0.7694240681289768,21.136314153671265
03_four_ports_d2cm,4,1.8322154875014658,0.007394882430756986,0.0882490714228004,0.7704195972762681,21.501095294952393
04_port_x10cm_d2cm,1,1.8374426394832153,0.006650466037209493,0.37379217104857887,0.7691430772471782,20.458510637283325
04_port_x20cm_d2cm,1,1.832901095739469,0.006545857849281052,0.12570172290335987,0.7690247098628994,20.96623730659485
04_port_x35cm_d2cm,1,1.8307463329053149,0.007374950313176638,0.007993712734341192,0.7692810968078896,20.85115957260132
