config,n_ports,TBR_total,TBR_total_stddev,delta_vs_no_port_percent,fraction_lipb,runtime_s,delta_within_bc_percent
00_baseline_no_port,0,0.9039719008008775,0.00458976451861354,-50.61881892270963,0.7059062929616058,11.444865703582764,+0.00
01_single_port_d1cm,1,0.9046115092866205,0.004468224185098319,-50.583879095016904,0.7056116180276574,11.583528518676758,+0.07
01_single_port_d2cm,1,0.9044910811711209,0.0038922927010812867,-50.590457709432926,0.7052471216489953,11.641003608703613,+0.06
01_single_port_d3cm,1,0.9023458163323451,0.0038688187841352394,-50.70764687357451,0.7054556556616495,11.39789867401123,-0.18
01_single_port_d4cm,1,0.9017442190723519,0.003989617446795249,-50.74051026590452,0.7058087660671359,11.40859055519104,-0.25
01_single_port_d5cm,1,0.9022555676530828,0.003049220446526769,-50.7125768789969,0.7060397508961105,11.63232946395874,-0.19
02_two_ports_d2cm,2,0.9030773448194775,0.004249952042729597,-50.66768574131555,0.7057322119725782,11.134307861328125,-0.10
03_four_ports_d2cm,4,0.9009504266593198,0.004528038221597396,-50.783872683310406,0.7066011745152087,11.670798063278198,-0.33
04_port_x10cm_d2cm,1,0.9060698082651256,0.0049917093611941705,-50.504216745049405,0.705899068245734,11.551235675811768,+0.23
04_port_x20cm_d2cm,1,0.9044910811711209,0.0038922927010812867,-50.590457709432926,0.7052471216489953,11.588378667831421,+0.06
04_port_x35cm_d2cm,1,0.9029861625806296,0.0045291533251567906,-50.672666744202466,0.7058193455630665,11.769721269607544,-0.11
